date,pm25,pm10,o3,no2,so2
2015-05-09,19.0,26.0,37.0,15.0,1.0
2015-05-10,30.0,16.0,32.0,11.0,1.0
2015-05-11,25.0,19.0,33.0,15.0,4.0
2015-05-12,25.0,16.0,34.0,14.0,1.0
2015-05-13,28.0,10.0,34.0,6.0,
2015-05-14,13.0,11.0,29.0,8.0,1.0
2015-05-15,12.0,15.0,27.0,11.0,1.0
2015-05-16,17.0,19.0,28.0,11.0,1.0
2015-05-17,23.0,22.0,22.0,19.0,1.0
2015-05-18,28.0,19.0,28.0,10.0,1.0
2015-05-19,25.0,16.0,35.0,12.0,1.0
2015-05-20,30.0,19.0,29.0,25.0,1.0
2015-05-21,32.0,17.0,36.0,10.0,
2015-05-22,30.0,16.0,34.0,8.0,
2015-05-23,26.0,13.0,30.0,9.0,1.0
2015-05-24,20.0,22.0,27.0,16.0,
2015-05-25,32.0,41.0,32.0,28.0,
2015-05-26,40.0,20.0,30.0,13.0,
2015-05-27,29.0,21.0,27.0,12.0,
2015-05-28,20.0,19.0,31.0,14.0,
2015-05-29,27.0,19.0,34.0,13.0,
2015-05-30,29.0,14.0,35.0,9.0,
2015-05-31,25.0,16.0,33.0,13.0,
2015-06-01,29.0,20.0,32.0,17.0,
2015-06-02,32.0,18.0,33.0,10.0,
2015-06-03,27.0,20.0,33.0,8.0,1.0
2015-06-04,13.0,20.0,31.0,12.0,
2015-06-05,16.0,27.0,29.0,21.0,
2015-06-06,33.0,20.0,40.0,5.0,
2015-06-07,31.0,16.0,28.0,10.0,1.0
2015-06-08,20.0,20.0,27.0,15.0,
2015-06-09,19.0,19.0,31.0,11.0,
2015-06-10,20.0,26.0,33.0,11.0,
2015-06-11,22.0,20.0,31.0,12.0,
2015-06-12,28.0,15.0,34.0,9.0,
2015-06-13,25.0,21.0,27.0,21.0,3.0
2015-06-14,45.0,13.0,31.0,8.0,
2015-06-15,20.0,12.0,24.0,7.0,
2015-06-16,11.0,14.0,29.0,8.0,
2015-06-17,19.0,13.0,28.0,18.0,
2015-06-18,26.0,15.0,23.0,9.0,
2015-06-19,34.0,29.0,25.0,15.0,
2015-06-20,65.0,13.0,17.0,12.0,
2015-06-21,28.0,17.0,25.0,16.0,
2015-06-22,28.0,17.0,29.0,13.0,
2015-06-23,28.0,13.0,26.0,11.0,
2015-06-24,37.0,19.0,32.0,13.0,
2015-06-25,27.0,17.0,28.0,12.0,
2015-06-26,28.0,12.0,26.0,7.0,
2015-06-27,22.0,14.0,23.0,8.0,
2015-06-28,21.0,20.0,32.0,11.0,
2015-06-29,29.0,22.0,30.0,14.0,
2015-06-30,37.0,29.0,25.0,14.0,
2015-07-01,32.0,28.0,25.0,20.0,
2015-07-02,31.0,27.0,31.0,12.0,
2015-07-03,36.0,21.0,39.0,10.0,
2015-07-04,38.0,20.0,31.0,12.0,
2015-07-05,21.0,26.0,26.0,8.0,
2015-07-06,26.0,17.0,28.0,7.0,
2015-07-07,26.0,13.0,20.0,12.0,
2015-07-08,26.0,19.0,31.0,11.0,
2015-07-09,32.0,23.0,29.0,13.0,
2015-07-10,29.0,20.0,22.0,15.0,
2015-07-11,30.0,17.0,16.0,11.0,
2015-07-12,26.0,22.0,19.0,14.0,
2015-07-13,28.0,18.0,26.0,15.0,
2015-07-14,32.0,21.0,29.0,14.0,
